velcro	suchý zip
putative	zdánlivý, domnělý
wayward	nezvladatelný, vzpurný
mirage	přelud, přízrak
conspicuous	nápadný, výrazný
beaker	kádinka
ardently	vřele, vášnivě
digression	odbočka (v textu)
pebble	oblázek
mundane	obyčejný, všední, nudný
peculiar	zvláštní, podivný, osobitý
yearning	touha, touzkebné přaní
solemn	vážný, slavnostní
comb	česat
dreary	ponurý, depresivní
stroller	(dětský) kočárek
arson	žhářství
magpie	straka
contingent on sth 	podmíněný něčím
outpatient clinic 	poliklinika
concise 	stručný, výstižný
eavesdropper	slídil (kdo tajně poslouchá)
tame	ochočit
doom	zkáza
layabout	povaleč
tangible	hmatatelný, skutečný
facilitate	usnadnit
far-fetched	nedůvěryhodný, nepravděpodobný, za vlasy přitažený
interim report	průběžná zpráva
burp (v)	krknout
sift (v)	prosévat
pier	molo
liable	náchylný, odpovědný
pant	ztěžka oddechovat, hekat
bait	návnada
maggot	larva
quarry	lom
scab	strup
anguish	trýzeň, muka
sublime	vznešený, nádherný
incredulity	nedůvěřivost
contempt	pohrdání, opovržení
docile	poddajný, poslušný
illicit	nezákonný
gargoyle	chrlič
faucet	vodovodní kohoutek
coat hanger	ramínko
sweatpants	tepláky
inseam	vnitřní šev
trunk	chobot
curio	rarita
delude	namlouvat si, oklamat, ošálit
sole	chodidlo, podrážka
scaffold	lešení
windshield	čelní sklo
log	kláda
gravel	štěrk
pensive	zamyšlený, zadumaný
baboon	pavián
flintstone	pazourek
sycophant	patolízal
phony	falešný, předstíraný
rear-view mirror	zpětné zrcátko
