allzu	příliš
anstatt	místo, aby
antriebslos	nemotivovaný
das Bedürfnis	potřeba
beeinflussen	ovlivnit
der Einzelne	jedinec, jednotlivec
gelegentlich	příležitostně
der Glücksbringer	talisman
sich gönnen	dopřát si
das Kleeblatt	čtyřlístek, jetelový lístek
liebenswert	milovaný, příjemný, sympatický, milý
sich lümmeln	vyvalovat se
die Prise	špetka
der Schornsteinfeger	kominík
das Sprichwort	přísloví
die Trennung	rozvod
unbefriedigt	neuspokojený
verlässlich	spolehlivý
verlassen (adj.)	opuštěný
vielfältig	rozmanitý, mnohotvárný
vierblättrig	čtyřlistý
der Vollmond	úplněk
wandelbar	nestálý, proměnlivý
der Band	svazek (knižní)
die Band, die Bands	kapela
der Bauer	zemědělec
das Bauer, der Käfig	klec
der Bord	paluba, okraj
das Bord	polička
die Bulle	bula
der Bulle, die Bullen	býk
der Bund	svaz, spolek
der Erbe, die Erben	dědic
das Erbe	dědictví
der Flur, die Flure	chodba, předsíň
der Gefallen	laskavost
das Gefallen	radost, záliba
der Gehalt	obsah (třeba ovoce nebo alkoholu)
die Gehalt	plat, mzda
der Hut, die Hüte	klobouk
die Hut	ochrana, péče, dozor
der Junge	chlapec
die Junge	mládě
der Kaffee	káva
das Café	kavárna
der Kunde	zákazník
die Kunde	zpráva
der Leiter	vedoucí
die Leiter	žebřík
der Mangel	nedostatek
die Mangel	mandl
der Mast	stěžeň, stožár, sloup
die Mast	krmení
der Schild	štít (zbraň)
das Schild	cedule
der See	jezero
die See	moře
der Stift	kolíček
das Stift	klášter, nadace
das Steuer	volant, kormidlo
die Steuer	daň
der Tau	rosa
das Tau	lano
der Taube	hluchý (subs.)
die Taube	holub
das Tor	brána
der Tor	blázen
der Verdienst	výdělek
das Verdienst	zásluha
das Wehr	jez
die Wehr	zbraň, obrana
der Weise	mudrc
die Weise	způsob
der Anlass, die Anlässe	důvod, pohnutka, příležitost
die Absicherung	zajištění, zabezpečení
abwägen	rozmyslet si, zvážit
auffallen	být nápadný, vzbuzovat pozornost
die Brautleute	snoubenci
der Brautstrauß	svatební kytice
die Ehe	manželství, sňatek
ehelichen	vzít si (za muže/ženu)
die Eheschließung	uzavření sňatku
die Flitterwochen	líbánky
die Fuchtel	nadvláda
greifen	sáhnout
der Polterabend	rozlučka se svobodou
sich scheuen	bát se
der Standesbeamte	oddávající úředník
der Trauschein, die Heiratsurkunde, die Heiratsurkunden	oddací list
die Treue	věrnost
vergeben (adj.)	zadaný
der Vordergrund	popředí
der Vorwand	záminka
zelebrieren	oslavovat
zuzwinkern	zamrkat
die Brille, die Brillen	brýle
die Tür, die Türen	dveře
die Hose, die Hosen	kalhoty
die Uhr, die Uhren	hodiny, hodinky
die Leber, die Lebern	játra
die Schere, die Scheren	nůžky
die Hefe, die Hefen	kvasnice, droždí
das Schlitten, die Schlitten	sáňky
der Rücken, die Rücken	záda
die Zange, die Zangen	kleště
die Orgel, die Orgeln	varhany
die Banken (pl.)	banky (pl.)
die Bänke (pl.)	lavičky (pl.)
die Mütter (pl.)	matky (rodiče, pl.)
die Muttern (pl.)	matice (pl.)
die Akademikerin, die Akademikerinnen	vysokoškolačka
sich beschäftigen (mit)	bavit se, zabývat se, zamětstnávat se
erscheinen	ukázat se, objevit se
die Einstellung, die Einstellungen	postoj, stanovisko, nastavení, zaměření
die Fehlgeburt, Fehlgeburten	potrat
das Fortkommen, die Fortkommen	postup
die Geburt, die Geburten	porod, narození
grundsätzlich	zásadně, zásadní
die Haltung, die Haltungen	chov, chování, postoj, držení těla
die Hebamme, die Hebammen	porodní asistentka
herumtoben	hlučet, dovádět
der Kaiserschnitt, die Kaiserschnitte	císařský řez
die Kinderbetreuung	opatrování, zaopatření dítěte
kneten	modelovat, hníst
der Krawall, die Krawalle	hluk, povyk, kravál, nepokoj
miterleben	prožít, zažít
folgsam	poslušný
bescheiden	nenáročný, skromný
traumhaft	vysněný
unter vier Augen	mezi čtyřma očima
