anlässlich (+ gen)	u příležitosti
aufgrund (+ gen)	na základě
außerhalb (+ gen)	mimo, vně
infolge (+ gen)	v důsledku
inmitten (+ gen)	uprostřed
innerhalb (+ gen)	uvnitř, během
laut (+ gen)	podle
mangels (+ gen)	pro nedostatek
mittels (+ gen)	prostřednictvím
oberhalb (+ gen)	nad (s genitivem)
trotz (+ gen)	přes, navzdory
ungeachtet (+ gen)	nehledě na
unterhalb (+ gen)	pod (s genitivem)
unweit (+ gen)	nedaleko
während (+ gen)	během, za, po dobu (v průběhu), zatímco (prep.)
wegen (+ gen)	kvůli, z důvodu
binnen (+ dat)	během, do, za dobu
gemäß (+ dat)	podle (např. zákona)
(acc +) entlang	podél
wider (+ acc)	proti (např. vůli, zákonu)
heute in zwei Tagen	ode dneška za dva dny
von klein auf	od malička, od mala
wissen von	vědět o
ablenken von	odvádět od, rozptýlit od
die Ausdauer	vytrvalost
der Bauchmuskel, die Bauchmuskeln	břišní sval
der Bestandteil	součást, díl
empfinden	vnímat, pociťovat
sich entspannen	uvolnit se, odpočinout si
etlich	několik, nějaký
fix und fertig	vyčerpaný (hovorově)
gegenwärtig (adj.)	nynější, současný
joggen	běhat (kondičně)
das Muss	nutnost, povinnost
der Pezziball	gymnastický míč
die Qual, die Qualen	trápenení, muka, strast
radeln, radfrahren	jezdit na kole
rein	čistě, čistý
der Sinn, die Sinne	smysl
unbedingt	bezpodmínečně
verfolgen	sledovat
vermutlich	pravděpodobně
von jeher	odjakživa
der Wettkampf, die Wettkämpfe	závod, soutěž
sich regen	pohnout se
vorkommen	stát se, přihodit se, připadat, zdát se
die Abwechslung, die Abwechslungen	změna, střídání
die Achterbahn, die Achterbahnen	horská dráha
anstrengend	namáhavý, náročný
der Aufstieg, die Aufstiege	výstup (nahoru)
außergewöhnlich (adj.)	neobyčejný
belohnen	odměnit
beschließen	uzavřít, ukončit, rozhodnout (se)
beschriften	opatřit nápisem
bestehen auf (+ dat)	trvat na (něčem)
duften	vonět
einmalig	jedinečný
entspannt	uvolněný, relaxační
das Erlebnis, die Erlebnisse	zážitek
erschrecken	vylekat, vyděsit
die Führung, die Führungen	prohlídka, vedení
das Geländer, die Geländer	zábradlí
das Karussell, die Karusselle	kolotoč
prächtig	nádherný, skvostný
sauteuer	šíleně drahý
die Schiene, die Schienen	koleje, kolejnice
unberührt	nedotčený
unzählig	nesčetný, nespočetný
verblüffen	ohromit, ohromovat
das Wahrzeichen, die Wahrzeichen	symbol, znak
das Weltall	vesmír
werfen	hodit, házet
verderben	zkazit se, zkazit
stoßen	narazit, udeřit, uhodit
die Lebenshaltungkosten	životní náklady
der Regelfall	obvyklý případ
auftreten	vystupovat (někde, jako někdo)
antreten	nastoupit (do zaměstnání, jako vojáci)
abtreten	odstoupit
zertreten	rozšlápnout, rozšlapat
vertreten	zastupovat
betreten	vstoupit
bereuen	litovat
die Rangordnung, die Rangordnungen	pořadí, hierarchie
der Neid	závist
sich erweisen	ukázat, osvědčit se
vorgeben	předstírat
vertragen	snést, vydržet, vycházet (s někým), snášet
dazukommen	nachomýtnout se
drängen	tlačit, přinutit, přimět
das Einwanderungsland	přistěhovalecká země
entsenden	vyslat, delegovat
die Heimat	vlast, domov
das Heimweh	stesk po domově
der Lebensstandard	životní standard
leiden	trpět, snášet
die Nachbarschaft, die Nachbarschaften	sousedství, blízkost
im Regelfall	zpravidla
der Rückweg, die Rückwege, die Rückkehr	zpáteční cesta
die Sozialleistung, die Sozialleistungen	sociální dávka
umfangreich	rozsáhlý
der Umstand	okolnost
überbrücken	překlenout, přestát
vielseitig	mnohostranný, rozmanitý, pestý
von vornherein	od začátku
sich wagen	odvážit se
das Zielland, die Zielländer	cílová země
schwemmen	plavit, vyplavit
verschwenden	vyplýtvat, promrhat, promarnit
ertrinken	utopit se
ertränken	utopit (někoho, ale ne se)
vor Kurzem	nedávno, před chvílí, před nedávnem
aus Versehen	omylem, nedopatřením
vergehen	uplynout, uběhnout (čas)
erledigen	vyřídit, vyřizovat
die Abkehr	odvrat, odklon
abschalten	vypnout, uvolnit se
abwechslungsreich	rozmanitý, mnohotvárný (např. práce)
aufgeregt sein	být rozrušený
der Bauernhof	statek
beeindruckend	působivý
eisern	železný
erbaut	postavený
erholsam	odpočinkový, rekreační
die Festung	pevnost
der Geschmack	záliba, vkus, chuť
das Inland	tuzemsko, vnitrozemí
intakt	neporušený
das Kaiserreich	císařství
das Lagerfeuer	táborák
der Radweg	cyklostezka
überdurchschnittlich	nadprůměrný
umliegend	okolní
als (conj.)	když (jednorázově v minulosti)
bevor, ehe (conj.)	než, dříve než
kaum dass (conj.)	sotva, sotvaže
nachdem (conj.)	když, poté co
seitdem (conj.)	od té doby, co
sobald (conj.)	jakmile
zwar ... aber	sice ... ale
solange (conj.)	pokud, dokud
sooft (conj.)	kdykoli (conj.)
während (conj.)	zatímco
gegenüber dem Vorjahr	oproti minulému roku
Schritt für Schritt	krok za krokem
zweifeln an	pochybovat o
auf diese Weise	tímto způsobem
aus zwei Teilen bestehen	skládat se ze dvou částí
eine Prüfung ablegen	skládat zkoušku
weder ... noch	ani ... ani
