aufhören mit	přestat s (něčím)
die Auferstehung	zmrtvýchvstání
ausgelassen	rozpustilý, rozpustile
das Christentum	křesťanství
das Ereignis	událost, příhoda, zážitek
die Fackel	pochodeň
der Fasching, die Fastnacht	masopust
das Gedicht	báseň
der Gesang	zpěv
hednisch	pohanský
das Korbs	sbor
die Kutsche	kočár
der Maibaum	májka
das Morgenland	orient
närrisch	bláznivý, šílený, pošetilý
die Pappnase	papírový nos
der Segen	požehnání
verkleiden	převlékat se (za co)
die Wunderkerze, die Wunderkerzen	prskavka
die Abhängigkeit	závislost
der Abstinenzler	abstinent
der Außenseiter, die Außenseiter	outsider
bedenklich	povážlivý
begegnen	potkat
betäuben	omámit, opojit
die Hemmung	zábrana
herumlegen	povalovat se
der Rausch	opilost, opojení
saufen	chlastat
schrecklich	strašný, hrozný
sich übergeben	vyzvracet se
sich unterziehen	podrobit se, podstoupit
zugehen	přicházet, směřovat, přistupovat
verringen	snížit, zmenšit
die Entziehungskur	odvykací kúra
schätzen	odhadnout, odhadovat
ausweichen (+ dat)	vyhnout se
ausziehen	vystěhovat se, vytáhnout, svléct
einrichten	zařídit (byt)
bedeutend, erheblich (adv.)	značně, významně
bei weitem, weitaus	zdaleka
einigermaßen (adv.)	poněkud
entschieden (adv.)	rozhodně
etwas (adv.)	trochu
noch	ještě
ungleich (adv.)	nesrovnatelně
völlig (adv.)	zcela, naprosto
außerordentlich (adv.)	mimořádně
erstaunlich (adv.)	překvapivě
fabelhaft (adv.)	báječně
höchst (adv.)	nanejvýš, vysoce
ungeheuer (adv.)	hrozně, nesmírně
überaus (adv.)	nadmíru
wahnsinnig (adv.), irre (adv.)	šíleně
bettelarm	chudičký
bildschön	hezký jako obrázek
blitzgescheit	velmi chytrý
butterweich	měkký jako máslo
federleicht	velmi lehký, lehký jako pírko
goldrichtig	velmi správně, zcela správně, zcela správně
kerngesund	zdravý jako řípa
klitzeklein	maličký, nepatrný
mausetot	nadobro mrtvý
nagelneu	zbrusu nový
potthässlich	odporný, hnusný
rabenschwarz	černý jako havran
riesengroß	obrovský
schneeweiß	sněhobílý
spotbillig	směšně levný
steinhart	tvrdý jako kámen
stockfinster	tma jako v pytli
todsicher 	zcela jistý, naprosto jistý
uralt	prastarý
urkomisch	srandovní
die Anstellung	pracovní poměr, jmenování
aufweisen	vykazovat, mít
bestimmen	určit, stanovit
sich beteiligen an	podílet se na
eigen	vlastní, svůj, osobní
eigenständig	samostatný
der Geldbeutel	peněženka
gewonnen (adj.)	získaný, nabitý
häuslich	domácí
schonen	šetřit, uchovávat
sogenannt	takzvaný
umgehen	zacházet, nakládat, zabývat se
das Umland	okolí města
unvermeidbar	nevyhnutelný
wesentlich	podstatný, podstatně, důležitý, zásadní
der Wohlstand	blahobyt
zunehmend	narůstající, přibývající
zweckmäßig (adv.)	účelně, vhodně, přiměřeně
Mach dir nichts daraus.	Nic si z toho nedělej.
Das nächste Mal klappt es bestimmt.	Příště to určitě vyjde.
Nimm es dir nicht so zu Herzen.	Neber si to tak k srdci.
Wir wollen das Beste hoffen.	Doufejme, že to bude dobré.
allerbest	ze všech nejlepší
zunächst	nejprve, nejdříve, prozatím
gelingen (v.)	podařit se
einhalten	dodržet
zum ersten Mal	poprvé (fráze)
die Hälfte	polovina
doppelt	dvojnásobný
