anrühren	dotknout se
der Aschenbecher	popelník
befürchten	obávat se, mít strach
die Entzugserscheinungen	abstinenční příznaky
der Genuss, die Genüsse	požitek
homöopatisch	homeopatický
die Kippe, die Kippen	nedopalek
knüpfen	navázat
packen	popadnout, zachvátit, balit
das Pflaster	náplast
der Quatsch	nesmysl
der Schlot	tovární komín
die Spritze, die Spritzen	injekce
spucken	kuckat, plivat
stinken	páchnout, smrdět
unerträglich	nesnesitelný
üppig	vydatný, bohatý, hojný
wirken	působit
der Zigarettenqualm	cigaretový kouř
zunehmen	ztloustnout, přibrat, narůstat
zu ... als dass	příliš ... než aby
sodass	takže
streben nach	usilovat o, snažit se o
abnehmen	zhubnout
annehmen	přijmout, přijímat, předpokládat
das Aussehen	vzhled, zevnějšek
der Ballaststoff	vláknina
erstrebenswert	hodný úsilí
fesseln	spoutat, připoutat, zaujmout
die Fettverbrennung	spalování tuku
gängig	obvyklý, běžný
schuld	vinen
das Streben	snaha, úsilí
abspeichern	uložit
die Auflage, die Auflagen	náklad (novin)
beliebig	libovolný
die Berichterstattung	zpravodajství
einteilen	rozdělit, rozdělovat
kontinuierlich	kontinuální, nepřetržitý
längst	dávno
öffentlich-rechtlich	veřejnoprávní
der Reiz, die Reize	kouzlo, přitažlivost
sich tummeln	prohánět se
sich wegdenken	odmyslet si
das Zeitalter	období, doba, věk
keinesfalls	v žádném případě
im Internet	na internetu
niemandem jemals	nikdy nikomu
Sie hat sich nicht einmal bemüht.	Ani se nesnažila.
Wir haben keine zehn Minuten gewartet.	Nečekali jsme ani deset minut.
