dürfen	gedurft
können	gekonnt
mögen	gemocht
müssen	gemusst
wollen	gewollt
sollen	gesollt
wissen	gewusst
anbieten	angeboten
anfangen	angefangen
anrufen	angerufen
aufstehen	(ist) aufgestanden
backen	gebacken
beginnen	begonnen
bekommen	bekommen
bitten	gebeten
bleiben	(ist) geblieben
braten	gebraten
brechen	gebrochen
einladen	eingeladen
einschlafen	eingeschlafen
essen	gegessen
fahren	(ist) gefahren
fallen	gefallen
fernsehen	ferngesehen
finden	gefunden
fliegen	(ist) geflogen
geben	gegeben
gefallen	gefallen
gehen	(ist) gegangen
genießen	genossen
gewinnen	gewonnen
halten	gehalten
heißen	geheißen
helfen	geholfen
kommen	(ist) gekommen
lassen	gelassen
laufen	(ist) gelaufen
lesen	gelesen
leihen	geliehen
liegen	gelegen
nehmen	genommen
schlafen	geschlafen
schließen	geschlossen
schreiben	geschrieben
schwimmen	geschwommen
sehen	gesehen
sinken	(ist) gesunken
sitzen	gesessen
sprechen	gesprochen
stehen	gestanden
steigen	(ist) gestiegen
tragen	getragen
treffen	getroffen
verderben	verdorben
trinken	getrunken
untergehen	(ist) untergegangen
unterhalten	unterhalten
unternehmen	unternommen
verbinden	verbunden
vergessen	vergessen
vorschlagen	vorgeschlagen
waschen	gewaschen
ziehen	gezogen
frieren	gefroren
stoßen	gestoßen
ankommen	(ist) angekommen
antreten	angetreten
auffallen	(ist) aufgefallen
aufgehen	(ist) aufgegangen
beschließen	beschlossen
bestehen	bestanden
empfinden	empfunden
erscheinen	(ist) erschienen
erschrecken	(ist) erschrocken
sich erweisen	erwiesen
schreien	geschrien
sterben	gestorben
verlieren	verloren
vetragen	vertragen
vorkommen	(ist) vorgekommen
werfen	geworfen
fließen	(ist) geflossen
