anbieten	(er) bot an
anfangen	(er) fing an
anrufen	(er) rief an
aufstehen	(er) stand auf
backen	(er) buk, (er) backte
bitten	(er) bat
bleiben	(er) blieb
braten	(er) briet
brechen	(er) brach
einladen	(er) lud ein
einschlafen	(er) schlief ein
entsprechen	(er) entsprach
essen	(er) aß
fahren	(er) fuhr
fallen	(er) fiel
fernsehen	(er) sah fern
finden	(er) fand
fliegen	(er) flog
geben	(er) gab
gefallen	(er) gefiel
gehen	(er) ging
genießen	(er) genoss
gewinnen	(er) gewann
halten	(er) hielt
helfen	(er) half
kommen	(er) kam
lassen	(er) ließ
laufen	(er) lief
liegen	(er) lag
nehmen	(er) nahm
schlafen	(er) schlief
schließen	(er) schloss
schreiben	(er) schrieb
schwimmen	(er) schwamm
sehen	(er) sah
sinken	(er) sank
sitzen	(er) saß
sinken	(er) sank
sitzen	(er) saß
sprechen	(er) sprach
stehen	(er) stand
steigen	(er) stieg
tragen	(er) trug
treffen	(er) traf
trinken	(er) trank
unterhalten	(er) unterhielt
unternehmen	(er) unternahm
verbinden	(er) verband
vergessen	(er) vergaß
vorschlagen	(er) schlug vor
waschen	(er) wusch
ziehen	(er) zog
ankommen	(er) kam an
auffallen	(er) fiel auf
aufgehen	(er) ging auf
beschließen	(er) beschloss
bestehen	(er) bestand
empfinden	(er) empfand
erfahren	(er) erfuhr
erscheinen	(er) erschien
sich erweisen	(er) erwies (sich)
schreien	(er) schrie
sterben	(er) starb
verlieren	(er) verlor
vertragen	(er) vertrug
vorgeben	(er) gab vor
vorkommen	(er) kam vor
werfen	(er) warf
fließen	(er) floss
gelingen	(er) gelang
